ZONE,ENTITY,SUB_ENTITY,RAW_FILENAME,FILE_SIZE
Europe,FR-001,Antony-PF,ddf4d5a8/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO3/Error/ErrorHistory_28239.log/20200704_203214_884.zip,384923
Europe,FR-001,Antony-PF,f0c1220c/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO3/Error/ErrorHistory_28239.log/20200704_205429_884.zip,384923
Europe,FR-001,Antony-PF,066ce3c1/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO4/Error/ErrorHistory_28266.log/20200704_025214_574.zip,264533
Europe,FR-001,Antony-PF,4fa310a6/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_01_JobState_28266.log/20200702_014430_873.zip,14667
Europe,FR-001,Antony-PF,3e102da1/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO2/JobStateHistory/2020_07_03_JobState_28213.log/20200704_015121_289.zip,11512
Europe,FR-001,Antony-PF,62b02065/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO1/Status/2020_07_02_MachineState_28180.log/20200703_015956_884.zip,4012
Europe,FR-001,Antony-PF,1d59597d/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO1/Status/2020_07_03_MachineState_28180.log/20200704_014202_884.zip,3419
Europe,FR-001,Antony-PF,454f78d4/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_02_JobState_28239.log/20200702_171256_884.zip,2924
Europe,FR-001,Antony-PF,f97284c8/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_03_JobState_28180.log/20200703_175728_301.zip,2861
Europe,FR-001,Antony-PF,8ae024ae/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_03_JobState_28239.log/20200704_001202_884.zip,2823
Europe,FR-001,Antony-PF,34acd686/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_03_JobState_28180.log/20200703_055815_884.zip,2776
Europe,FR-001,Antony-PF,73c9b3aa/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_02_JobState_28266.log/20200703_015937_581.zip,2775
Europe,FR-001,Antony-PF,f70724e9/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_04_JobState_28266.log/20200704_230212_741.zip,2709
Europe,FR-001,Antony-PF,eb6ee0bf/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_02_JobState_28180.log/20200703_015228_884.zip,2698
Europe,FR-001,Antony-PF,4077bc37/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_02_JobState_28239.log/20200702_091256_884.zip,2692
Europe,FR-001,Antony-PF,8cd92ff6/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_03_JobState_28239.log/20200703_131238_876.zip,2685
